dataset,model,c,ql_trunc,precision0,recall0,f1
fresh_retail,PatchTSMixer,2.0,0.219398,0.853767,0.984253,0.914378
fresh_retail,PatchTST,0.1,0.289268,0.7655,0.0891629,0.159722
fresh_retail,PatchTST,0.25,0.286859,0.686997,0.271714,0.389412
fresh_retail,PatchTST,0.5,0.286792,0.576457,0.607575,0.591607
fresh_retail,PatchTST,0.75,0.306592,0.491241,0.822231,0.615032
fresh_retail,PatchTST,1.0,0.345285,0.429463,0.922417,0.586063
fresh_retail,PatchTST,1.5,0.190724,0.900383,0.957922,0.928262
fresh_retail,PatchTST,2.0,0.211768,0.857247,0.985789,0.917035
fresh_retail,SBA,0.1,0.307125,0.266971,0.00465836,0.00915694
fresh_retail,SBA,0.25,0.306121,0.524379,0.168072,0.254555
fresh_retail,SBA,0.5,0.303407,0.532291,0.672518,0.594244
fresh_retail,SBA,0.75,0.32489,0.466446,0.868275,0.606874
fresh_retail,SBA,1.0,0.361032,0.415614,0.940166,0.576415
fresh_retail,SBA,1.5,0.19732,0.891253,0.966046,0.927143
fresh_retail,SBA,2.0,0.220844,0.850459,0.987614,0.913919
fresh_retail,TCN,0.1,0.353965,0.299725,0.0288783,0.0526808
fresh_retail,TCN,0.25,0.353535,0.456652,0.156068,0.232631
fresh_retail,TCN,0.5,0.352242,0.502004,0.596765,0.545298
fresh_retail,TCN,0.75,0.371537,0.450304,0.820304,0.581433
fresh_retail,TCN,1.0,0.406762,0.404829,0.915619,0.561429
fresh_retail,TCN,1.5,0.248536,0.86842,0.954867,0.909594
fresh_retail,TCN,2.0,0.264622,0.834751,0.981038,0.902002
fresh_retail,TSB,0.1,0.288178,0.792319,0.0742243,0.135733
fresh_retail,TSB,0.25,0.28545,0.699542,0.267586,0.3871
fresh_retail,TSB,0.5,0.28544,0.578748,0.613648,0.595687
fresh_retail,TSB,0.75,0.305989,0.491113,0.833572,0.618076
fresh_retail,TSB,1.0,0.345862,0.427896,0.929029,0.585924
fresh_retail,TSB,1.5,0.189828,0.899917,0.959666,0.928832
fresh_retail,TSB,2.0,0.21195,0.856604,0.986172,0.916833
fresh_retail,TTM,0.1,0.297991,0.719157,0.0913551,0.162116
fresh_retail,TTM,0.25,0.295944,0.653209,0.275736,0.38778
fresh_retail,TTM,0.5,0.296618,0.559673,0.608972,0.583283
fresh_retail,TTM,0.75,0.315514,0.484814,0.825316,0.610817
fresh_retail,TTM,1.0,0.353888,0.425559,0.924485,0.582829
fresh_retail,TTM,1.5,0.198541,0.895649,0.95771,0.925641
fresh_retail,TTM,2.0,0.219132,0.854163,0.984577,0.914745
fresh_retail,TimesFM,0.1,0.269422,0.621285,0.486962,0.545983
fresh_retail,TimesFM,0.25,0.269641,0.596627,0.56451,0.580124
fresh_retail,TimesFM,0.5,0.271081,0.571127,0.643516,0.605165
fresh_retail,TimesFM,0.75,0.278535,0.532037,0.74859,0.622004
fresh_retail,TimesFM,1.0,0.331799,0.437102,0.916786,0.591968
fresh_retail,TimesFM,1.5,0.182261,0.900818,0.963845,0.931266
fresh_retail,TimesFM,2.0,0.204045,0.859295,0.98911,0.919644
fresh_retail,TweedieGP,0.1,0.325693,0.48428,0.811641,0.606614
fresh_retail,TweedieGP,0.25,0.325693,0.48428,0.81165,0.606616
